Sample	bp_written	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_processed
SRR13822274_1						
SRR13822274_2	2184446692	8434689	19405969	22173362	2.4587021611475484	2239509562
SRR13822275_1	3258459869	13250970	9502209	33159191	2.7057719804138194	3349078291
SRR13822275_2	3241141316	15116590	24503489	33159191	3.2228859889617913	3349078291
SRR13822276_1	2495298437	12964839	7531753	25861839	4.46957341737422	2612045739
SRR13822276_2	2487282761	13693195	15568822	25861839	4.7764469104497564	2612045739
SRR13822277_1	2762462579	10845648	8058559	27912884	2.012580844156568	2819201284
SRR13822277_2	2744462158	11786822	25105285	27912884	2.651074487805178	2819201284
SRR13822278_1	4392977003	19304316	12794396	44890499	3.109070336061116	4533940399
SRR13822278_2	4375907843	21042358	28653185	44890499	3.4855455099245565	4533940399
SRR13822279_1	3360111315	11263905	9124845	33717588	1.332121202186412	3405476388
SRR13822279_2	3336537108	12504973	30778764	33717588	2.0243652325097257	3405476388
SRR13822280_1	3041943314	9279906	11891348	30468661	1.1500681514577673	3077334761
SRR13822280_2	2995126308	10804028	56399058	30468661	2.6714172940121026	3077334761
SRR13822281_1	3051934334	17821794	9708666	32007287	5.592836956901795	3232735987
SRR13822281_2	3042502290	18519680	19728137	32007287	5.884603560729935	3232735987
SRR13822282_1	2691452545	9899101	7649475	27097850	1.6599287397339642	2736882850
SRR13822282_2	2677768248	10732053	20290275	27097850	2.159924455663128	2736882850
