Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
SRR13822274_1	52.0	20.0	78.45015226466879	84.75658384922072	22164367.0	
SRR13822274_2	52.0	10.0	78.21220022597842	83.37468388436758	22078214.0	2.4587021611475484
SRR13822275_1	50.0	10.0	77.61383035966477	73.92960923815829	33141611.0	2.7057719804138194
SRR13822275_2	51.0	0.0	77.3736336704356	69.38497764982708	33049219.0	3.2228859889617913
SRR13822276_1	49.0	10.0	75.8773147042898	75.65325486364891	25844662.0	4.46957341737422
SRR13822276_2	50.0	10.0	75.74660233275048	73.14679690982423	25798730.0	4.7764469104497564
SRR13822277_1	50.0	10.0	78.3099353546277	84.90817638320826	27900373.0	2.012580844156568
SRR13822277_2	50.0	10.0	78.11275479209901	83.57404959572442	27770190.0	2.651074487805178
SRR13822278_1	50.0	20.0	77.21398733140849	77.09529818876314	44868287.0	3.109070336061116
SRR13822278_2	50.0	20.0	77.04170020532963	73.85240318173118	44781650.0	3.4855455099245565
SRR13822279_1	52.0	10.0	78.96816471250229	82.35664182830881	33705711.0	1.332121202186412
SRR13822279_2	52.0	10.0	78.68305923098409	80.13811039880146	33565625.0	2.0243652325097257
SRR13822280_1	51.0	10.0	79.1699795833565	81.01905642784169	30450157.0	1.1500681514577673
SRR13822280_2	51.0	10.0	78.79960027069855	78.56523335159585	30070350.0	2.6714172940121026
SRR13822281_1	49.0	10.0	74.75918855716472	79.42587574708028	31988156.0	5.592836956901795
SRR13822281_2	49.0	10.0	74.64626368226054	77.205391176524	31927290.0	5.884603560729935
SRR13822282_1	50.0	10.0	78.65514096159106	80.75321462030779	27087627.0	1.6599287397339642
SRR13822282_2	50.0	10.0	78.47118149039721	79.2371391983913	27001379.0	2.159924455663128
