Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc
SRR13822274_1	22173362.0	20.0	85.5564639765578	101.0	52.0
SRR13822274_2	22173362.0	10.0	84.50751825374331	101.0	52.0
SRR13822275_1	33159191.0	10.0	77.01995484481269	101.0	51.0
SRR13822275_2	33159191.0	10.0	74.03716039545412	101.0	51.0
SRR13822276_1	25861839.0	20.0	79.42155100188407	101.0	50.0
SRR13822276_2	25861839.0	20.0	77.40318846048814	101.0	50.0
SRR13822277_1	27912884.0	10.0	85.57844188655581	101.0	50.0
SRR13822277_2	27912884.0	10.0	84.0456040968313	101.0	50.0
SRR13822278_1	44890499.0	20.0	80.4378906231121	101.0	51.0
SRR13822278_2	44890499.0	20.0	78.6063745491586	101.0	51.0
SRR13822279_1	33717588.0	10.0	82.5174808281336	101.0	52.0
SRR13822279_2	33717588.0	10.0	81.26908729788781	101.0	52.0
SRR13822280_1	30468661.0	10.0	81.24763967635504	101.0	52.0
SRR13822280_2	30468661.0	10.0	77.65971399673123	101.0	51.0
SRR13822281_1	32007287.0	20.0	82.85434039327892	101.0	49.0
SRR13822281_2	32007287.0	20.0	80.91976603098786	101.0	49.0
SRR13822282_1	27097850.0	10.0	81.42734233146896	101.0	51.0
SRR13822282_2	27097850.0	20.0	80.51782033937823	101.0	50.0
