Module	Section	Sample Name	Source
FastQC	all_sections	SRR13822278_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822278_2_fastqc.zip
FastQC	all_sections	SRR13822281_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822281_1_fastqc.zip
FastQC	all_sections	SRR13822280_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822280_2_fastqc.zip
FastQC	all_sections	SRR13822274_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822274_2_fastqc.zip
FastQC	all_sections	SRR13822282_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822282_2_fastqc.zip
FastQC	all_sections	SRR13822279_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822279_2_fastqc.zip
FastQC	all_sections	SRR13822281_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822281_2_fastqc.zip
FastQC	all_sections	SRR13822282_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822282_1_fastqc.zip
FastQC	all_sections	SRR13822276_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822276_2_fastqc.zip
FastQC	all_sections	SRR13822275_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822275_2_fastqc.zip
FastQC	all_sections	SRR13822277_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822277_2_fastqc.zip
FastQC	all_sections	SRR13822277_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822277_1_fastqc.zip
FastQC	all_sections	SRR13822278_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822278_1_fastqc.zip
FastQC	all_sections	SRR13822274_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822274_1_fastqc.zip
FastQC	all_sections	SRR13822279_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822279_1_fastqc.zip
FastQC	all_sections	SRR13822275_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822275_1_fastqc.zip
FastQC	all_sections	SRR13822276_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822276_1_fastqc.zip
FastQC	all_sections	SRR13822280_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/FASTQC_RESULT/SRR13822280_1_fastqc.zip
