Sample	r_processed	quality_trimmed	percent_trimmed	bp_processed	bp_written	r_with_adapters
SRR13822274_1	22173362	6260515	1.8605827234239778	2239509562	2197841634	8123767
SRR13822274_2	22173362	19405969	2.4587991466678094	2239509562	2184444520	8434689
SRR13822275_1	33159191	9502209	2.7084979543107375	3349078291	3258368574	13250970
SRR13822275_2	33159191	24503489	3.2229845832529094	3349078291	3241138014	15116590
SRR13822276_1	25861839	7531753	4.47234649285749	2612045739	2495226003	12964839
SRR13822276_2	25861839	15568822	4.776543731112666	2612045739	2487280232	13693195
SRR13822277_1	27912884	8058559	2.01661620696112	2819201284	2762348814	10845648
SRR13822277_2	27912884	25105285	2.651172529758255	2819201284	2744459394	11786822
SRR13822278_1	44890499	12794396	3.111813733394425	4533940399	4392852619	19304316
SRR13822278_2	44890499	28653185	3.485639909048129	4533940399	4375903563	21042358
SRR13822279_1	33717588	9124845	1.3361226687794612	3405476388	3359975046	11263905
SRR13822279_2	33717588	30778764	2.024461313046696	3405476388	3336533836	12504973
SRR13822280_1	30468661	11891348	1.1540044472919142	3077334761	3041822181	9279906
SRR13822280_2	30468661	56399058	2.671512831229478	3077334761	2995123368	10804028
SRR13822281_1	32007287	9708666	5.595588155897248	3232735987	3051845395	17821794
SRR13822281_2	32007287	19728137	5.884701248880551	3232735987	3042499132	18519680
SRR13822282_1	27097850	7649475	1.663958250898463	2736882850	2691342262	9899101
SRR13822282_2	27097850	20290275	2.160021134993045	2736882850	2677765602	10732053
