Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc
SRR13822274_1	1.8605827234239778					
SRR13822274_1_val_1		84.52447142611847	22095349.0	20.0	78.44908383207706	52.0
SRR13822274_2	2.4587991466678094					
SRR13822274_2_val_2		84.70044342427076	22095349.0	10.0	98.13453636781206	52.0
SRR13822275_1	2.7084979543107375					
SRR13822275_1_val_1		73.7938821687305	33066306.0	10.0	77.61657301544358	50.0
SRR13822275_2	3.2229845832529094					
SRR13822275_2_val_2		73.32215984983033	33066306.0	10.0	97.30729220252181	51.0
SRR13822276_1	4.47234649285749					
SRR13822276_1_val_1		75.41703435355255	25803249.0	10.0	75.87938983962833	49.0
SRR13822276_2	4.776543731112666					
SRR13822276_2_val_2		76.44627174658748	25803249.0	10.0	95.69812878990548	50.0
SRR13822277_1	2.01661620696112					
SRR13822277_1_val_1		84.5838323488139	27794457.0	10.0	78.30804264317882	50.0
SRR13822277_2	2.651172529758255					
SRR13822277_2_val_2		84.58925894972806	27794457.0	10.0	98.0245877082614	50.0
SRR13822278_1	3.111813733394425					
SRR13822278_1_val_1		76.89923224629538	44796271.0	20.0	77.21639870425822	50.0
SRR13822278_2	3.485639909048129					
SRR13822278_2_val_2		77.68723463938449	44796271.0	20.0	96.99167691882211	51.0
SRR13822279_1	1.3361226687794612					
SRR13822279_1_val_1		82.1032325738061	33591762.0	10.0	78.96720815061741	52.0
SRR13822279_2	2.024461313046696					
SRR13822279_2_val_2		81.55428055246229	33591762.0	10.0	98.60704371506324	52.0
SRR13822280_1	1.1540044472919142					
SRR13822280_1_val_1		80.76939571936865	30137400.0	10.0	79.1699861301904	51.0
SRR13822280_2	2.671512831229478					
SRR13822280_2_val_2		79.45658963322217	30137400.0	10.0	98.60363422193022	52.0
SRR13822281_1	5.595588155897248					
SRR13822281_1_val_1		79.08719743026231	31936192.0	10.0	74.76083416582667	49.0
SRR13822281_2	5.884701248880551					
SRR13822281_2_val_2		79.98087962797496	31936192.0	10.0	94.5986352411709	49.0
SRR13822282_1	1.663958250898463					
SRR13822282_1_val_1		80.44435364998822	27017410.0	10.0	78.6536868633966	50.0
SRR13822282_2	2.160021134993045					
SRR13822282_2_val_2		80.66206512426223	27017410.0	20.0	98.40681175582708	51.0
