"SRR1382274"	"SRR1382275"	"SRR1382276"	"SRR1382277"	"SRR1382278"	"SRR1382279"	"SRR1382280"	"SRR1382281"	"SRR1382282"
4	9	11	4	5	13	6	19	7
14	11	4	0	0	13	9	18	4
345	500	466	332	979	586	516	722	271
133	155	95	109	187	138	178	120	186
0	0	0	0	0	2	0	0	0
229	102	132	196	404	197	434	169	359
337	237	185	598	290	248	161	262	353
611	275	476	188	438	385	593	1290	409
0	0	1	0	0	0	0	1	2
2	7	6	1	10	15	14	16	4
13	32	35	20	25	17	37	36	42
48	179	49	55	117	83	61	93	37
3	16	53	394	76	16	64	41	28
51	26	69	29	65	283	102	42	96
600	927	616	958	884	824	623	473	851
86	101	67	138	74	145	135	28	39
84	439	189	154	356	270	258	190	286
3	90	22	68	55	81	61	32	74
45	66	18	31	14	33	19	4	51
57	48	16	43	71	97	68	25	59
16	43	35	43	55	26	25	23	16
741	639	852	750	995	945	593	408	378
29	44	20	29	53	35	70	67	91
13	6	14	9	3	2	5	0	0
18	14	2	21	12	20	6	7	3
54	35	25	89	52	67	70	49	68
39	50	29	30	37	28	33	29	52
11	22	10	23	27	9	25	11	9
78	104	54	24	88	74	21	75	13
8	2	14	0	14	12	9	45	23
1	5	2	34	0	4	1	3	0
2	2	5	7	1	10	7	2	3
65	112	101	249	176	152	160	161	251
29	56	47	130	215	130	226	138	284
173	306	182	510	554	305	394	316	475
4	36	16	46	5	2	53	1	36
27	23	2	4	30	4	9	15	49
95	358	240	399	319	380	266	249	230
4	21	27	9	11	21	9	3	12
260	496	159	129	251	331	319	156	218
118	55	69	131	90	33	46	25	46
398	317	130	179	263	257	217	162	179
236	487	425	443	218	227	558	171	196
109	149	89	94	266	158	46	173	96
0	7	5	13	12	6	5	13	10
1359	1075	746	1024	1560	728	783	502	850
359	290	193	204	333	419	332	250	345
66	169	68	172	147	163	144	84	66
7	28	19	3	40	33	16	2	0
0	0	1	0	3	0	0	0	1
15	97	32	15	79	39	33	48	38
0	5	0	3	0	4	38	1	7
1	1	3	3	1	1	0	0	4
8	46	7	15	31	20	13	47	11
10	10	6	11	3	17	42	0	7
6	10	9	50	2	15	8	9	8
0	1	0	0	0	0	1	0	0
0	1	6	1	0	0	0	0	2
311	158	100	249	126	111	120	175	185
8	9	0	5	8	6	1	2	8
7	47	21	21	53	22	31	20	17
1	0	4	0	59	6	0	7	8
1	0	2	0	4	4	3	2	2
81	169	57	90	178	150	190	61	42
