"ENSEMBL"	"SYMBOL"	"ENTREZID"
"1"	"ENSG00000142623"	"PADI1"	"29943"
"2"	"ENSG00000142619"	"PADI3"	"51702"
"3"	"ENSG00000179546"	"HTR1D"	"3352"
"4"	"ENSG00000158246"	"TENT5B"	"115572"
"5"	"ENSG00000121904"	"CSMD2"	"114784"
"6"	"ENSG00000127129"	"EDN2"	"1907"
"7"	"ENSG00000186377"	"CYP4X1"	"260293"
"8"	"ENSG00000169213"	"RAB3B"	"5865"
"9"	"ENSG00000132854"	"KANK4"	"163782"
"10"	"ENSG00000016602"	"CLCA4"	"22802"
"11"	"ENSG00000183347"	"GBP6"	"163351"
"12"	"ENSG00000060718"	"COL11A1"	"1301"
"13"	"ENSG00000163568"	"AIM2"	"9447"
"14"	"ENSG00000248485"	"PCP4L1"	"654790"
"15"	"ENSG00000117152"	"RGS4"	"5999"
"16"	"ENSG00000143839"	"REN"	"5972"
"17"	"ENSG00000263961"	"RHEX"	"440712"
"18"	"ENSG00000117594"	"HSD11B1"	"3290"
"19"	"ENSG00000162772"	"ATF3"	"467"
"20"	"ENSG00000233012"	"HDAC1P2"	"100419489"
"21"	"ENSG00000154342"	"WNT3A"	"89780"
"22"	"ENSG00000186197"	"EDARADD"	"128178"
"23"	"ENSG00000132031"	"MATN3"	"4148"
"24"	"ENSG00000223922"	"ASS1P2"	"447"
"25"	"ENSG00000115423"	"DNAH6"	"1768"
"26"	"ENSG00000019169"	"MARCO"	"8685"
"27"	"ENSG00000115290"	"GRB14"	"2888"
"28"	"ENSG00000204262"	"COL5A2"	"1290"
"29"	"ENSG00000152430"	"BOLL"	"66037"
"30"	"ENSG00000115414"	"FN1"	"2335"
"31"	"ENSG00000187957"	"DNER"	"92737"
"32"	"ENSG00000163359"	"COL6A3"	"1293"
"33"	"ENSG00000206538"	"VGLL3"	"389136"
"34"	"ENSG00000144810"	"COL8A1"	"1295"
"35"	"ENSG00000206531"	"CD200R1L"	"344807"
"36"	"ENSG00000163406"	"SLC15A2"	"6565"
"37"	"ENSG00000121552"	"CSTA"	"1475"
"38"	"ENSG00000173702"	"MUC13"	"56667"
"39"	"ENSG00000169860"	"P2RY1"	"5028"
"40"	"ENSG00000118849"	"RARRES1"	"5918"
"41"	"ENSG00000172061"	"LRRC15"	"131578"
"42"	"ENSG00000170801"	"HTRA3"	"94031"
"43"	"ENSG00000138769"	"CDKL2"	"8999"
"44"	"ENSG00000164099"	"PRSS12"	"8492"
"45"	"ENSG00000164161"	"HHIP"	"64399"
"46"	"ENSG00000145423"	"SFRP2"	"6423"
"47"	"ENSG00000151388"	"ADAMTS12"	"81792"
"48"	"ENSG00000079215"	"SLC1A3"	"6507"
"49"	"ENSG00000153347"	"FAM81B"	"153643"
