Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR9879265	0.0705192291600508	0	0.00412373708790482	0	0	0.25010652679295	0	0.0293193935560533	0.0131457270620727	0	0.114823232392222	0	0.0593092701430428	0	0	0	0	0.00426546739609841	0	0.417550318136658	0.0368370982729465	0	0.701	0.00362186064758054	1.18530491827575
SRR9879266	0.0836134194348897	0	0.00907792981218331	0.100391607047767	0	0.13059227877921	0.151394790364976	0.0274232991577734	0.0143893903163324	0	0.0381559785950528	0	0	0.120305785711938	0.0697655693134196	0.238773256247459	0	0	0	0.0161166952189987	0	0	0.004	0.320821603917251	0.952407843213047
SRR9879267	0	0	0.0195264969967403	0.0312313883678873	0	0.280563653170314	0	0.0707432410320126	0	0	0.0218852405021197	0.0211894017950598	0.00187886137573975	0	0.0136207164658645	0.395598563199178	0	0.129203763137044	0	0.00399985840988133	0	0.0105588155481589	0.947	-0.0319170402744053	1.11647637920331
SRR9879268	0.00594957427838902	0.0323556406368619	0.00419690254890678	0.0302205766345048	0	0.15364835990148	0.0796063519101542	0.0877380201266567	0	0	0.0982170919656317	0	0.0556684642511065	0.0639690459115615	0.0772807840043899	0.106218769122507	0	0	0	0.168189283246983	0.00195856134757047	0.0347825741132961	0.084	0.124218071201329	1.04431508340879
SRR9879269	0.00783354119090475	0	0.00831614162103367	0.0664610406196066	0	0.242334452899038	0.0632993469454979	0.0247617602410483	0	0	0	0.0481856026909851	0	0.0479262471327137	0.0999387306937388	0.323826445906603	0.0136843772266776	0.00200203085138996	0.0140227788328653	0.0209809667658077	0	0.016426536382089	0.017	0.2038303033404	1.01064160678677
SRR9879270	0.0046073888793291	0.019102099390543	0.0361283524743929	0.00208353388349542	0	0.294922694011781	0.00309997703400325	0.077693809111678	0	0	0.0737563671480483	0	0.0541280741016608	0	0.0894115829014803	0.220796312069497	0	0.0168955816121696	0	0.107374227381921	0	0	0.133	0.100558870275634	1.04754039862215
SRR9879271	0	0.00925692228967637	0.0103233076570336	0.0458021953705481	0	0.150128898637521	0	0.0306054567663514	0	0	0.0138398350025686	0.00591659386363232	0.00623891816860057	0	0.0210082097142663	0.409681837375912	0.105305693226612	0.165238963781766	0.00441709538914916	0.0175263078239407	0	0.00470976493242145	0.001	0.400534936850418	0.919455702895726
SRR9879272	0.0601116873200528	0	0	0.0378690306083607	0	0.143761132338218	0.0197475525428132	0.0240918733008662	0	0.00574542849723025	0	0.0356173132497323	0.0865908037689569	0.0767422267604186	0.0375886874605918	0.291655526584011	0.00432295855928795	0.0145087477515485	0	0.0951400698097018	0	0.0665069614482093	0.005	0.308784216257384	0.962118253372881
SRR9879273	0.00134692049233705	0.00297315889985289	0.00016085111977684	0	0	0.180612596878211	0	0.01515370353791	0	0	0	0.0371787619556253	0.0564949358935735	0.354776438710357	0.00321778760161198	0.339593626056962	0.00196531911569192	0	0	0.00652589973808975	0	0	0.002	0.382917078682572	0.948717927925126
SRR9879274	0.0148320011880138	0.0605696853782775	0.0179626631830575	0.0698202020826023	0	0.340372735379764	0.0128135565193776	0.0058759440506659	0	0	0.103312746731764	0	0.0444880498650079	0.115119118945718	0.0491486327500269	0.141929570118604	0	0.00471348732248168	0	0.0190416064846383	0	0	0.036	0.171859950750051	1.02190003505327
SRR9879275	0	0.127949104178703	0.00355170447854549	0.085308097241968	0	0.140526228984165	0.0422877028542893	0.035691598134295	0	0	0.0292337996011639	0.059028620982126	0.027221149076971	0	0.0251386427977172	0.204416960117701	0.0252003412225637	0.0112056771531817	0	0	0.0513502606261311	0.131890112550479	0.004	0.344905651949965	0.94220557881923
SRR9879276	0.00238511721945265	0.0124623243707454	0.00505084948079889	0.0973702805226059	0	0.109789083641587	0.00114677463364447	0.0266461857428316	0	0	0	0.0882315426019319	0.0459411843861234	0	0.0141269700729806	0.250675758450453	0	0.14395857146004	0	0.00749129906145831	0	0.194724058355348	0.002	0.371747488716298	0.937417397278309
SRR9879277	0.0145453601472107	0	0.0100688084494562	0.058686649513415	0	0.25802775148453	0.0236578352113809	0.0344915255108827	0	0	0.0628014621626849	0	0.00834353636803668	0	0.12146625027845	0.143662893349007	0.0250868863730538	0.00914710666622971	0.0748803721976015	0	0	0.155133562288061	0.001	0.44279526468773	0.896017762212805
SRR9879278	0	0	0.0101183702071646	0.0636098372599546	0	0.1680086240899	0.0789028787739514	0.0450093686697947	0	0	0.0523220814252355	0.00689749227335281	0	0.217457185291328	0.108559187759606	0.100887459142578	0.0391312146115028	0	0	0.0408474852231688	0	0.0682488152724635	0.004	0.33474631416969	0.950849711898843
SRR9879279	0	0.0141605644196227	0.016005886362531	0.0951879251201011	0	0.14769543404839	0.101224686245801	0.0609236545778589	0	0	0.0112235318649174	0.0910641795664134	0.0085526027250292	0.0897616873537864	0.00758783628549084	0.176673173914131	0	0.076770076732815	0	0.0749009118053708	0	0.0282678489777408	0.133	0.100298510599101	1.05634466874036
SRR9879280	0.058422019713302	0.111627497306412	0	0	0.0407688344004009	0.311944712969627	0.082795224363921	0	0	0	0.067482849937789	0	0.00672229891129622	0.206398124664465	0.018903524038943	0.0622852776881644	0	0	0	0.0326496360056797	0	0	0	0.497645452482865	0.868567160388821
SRR9879281	0.018157943045944	0	0.00585592237570897	0.0325577659350485	0	0.145193964697395	0.0184423485744427	0.0573459272867705	0	0	0.0408101016219677	0	0	0.367495068707221	0.0748545358927184	0.233919334506824	0	0	0	0	0	0.00536708735595923	0.004	0.334881769861524	0.967760188701986
SRR9879282	0.0128007166369233	0	0.00224536184825668	0	0	0.295967457674229	0	0.0232530935043013	0	0	0.0450994574592133	0.00335907101078743	0	0.0907699589838441	0	0.31994564834487	0	0.154554926712811	0	0.0254312549046982	0	0.0265730529200661	0.132	0.100888173516471	1.06019208807952
SRR9879283	0.0126735690081848	0	0.00481246191305865	0.0837429324471762	0	0.133549950616818	0.0254293916900781	0.0327084913765854	0	0	0.0943254303914492	0.0198180503884285	0.0211873437552456	0.108208565479558	0	0.167886111206809	0.0841526241838451	0.0313635812171822	0	0.105746107685854	0	0.0743953886397271	0	0.466379636135361	0.883742045772244
